Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,156,1,0,"H3","1201",8,54797749498,54797749498,25093466882,6
2010,156,1,32,"H3","1201",8,11190501405,11190501405,4980288342,0
2010,156,1,56,"H3","1201",8,234,234,107,6
2010,156,1,76,"H3","1201",8,18587210820,18587210820,8148317653,0
2010,156,1,104,"H3","1201",8,2000,2000,1540,0
2010,156,1,124,"H3","1201",8,74240270,74240270,34626902,0
2010,156,1,152,"H3","1201",8,92,92,1109,0
2010,156,1,156,"H3","1201",8,218220,218220,156504,0
2010,156,1,643,"H3","1201",8,677855,677855,203357,0
2010,156,1,842,"H3","1201",8,23597260353,23597260353,11328515661,0
2010,156,1,858,"H3","1201",8,1347638249,1347638249,601355707,0
2011,156,1,0,"H3","1201",8,52452847898,52452847898,29726066495,0
2011,156,1,32,"H3","1201",8,7781390364,7781390364,4329313268,0
2011,156,1,56,"H3","1201",8,40,40,542,0
2011,156,1,76,"H3","1201",8,20621872147,20621872147,11790235112,0
2011,156,1,124,"H3","1201",8,387971203,387971203,219067916,0
2011,156,1,152,"H3","1201",8,80,80,918,0
2011,156,1,643,"H3","1201",8,3677869,3677869,1278390,0
2011,156,1,764,"H3","1201",8,100,100,450,0
2011,156,1,842,"H3","1201",8,22226830477,22226830477,12578643947,0
2011,156,1,858,"H3","1201",8,1431105618,1431105618,807525952,0
2002,156,1,0,"H2","1201",8,11314371665,11314371665,2482837546,0
2002,156,1,32,"H2","1201",8,2774134544,2774134544,610294729,0
2002,156,1,76,"H2","1201",8,3909441280,3909441280,905366686,0
2002,156,1,104,"H2","1201",8,10000,10000,1691,0
2002,156,1,124,"H2","1201",8,11998755,11998755,3818703,0
2002,156,1,344,"H2","1201",8,26100,26100,7830,0
2002,156,1,360,"H2","1201",8,4,4,84,0
2002,156,1,408,"H2","1201",8,339500,339500,149848,0
2002,156,1,410,"H2","1201",8,50,50,17,0
2002,156,1,458,"H2","1201",8,1,1,31,0
2002,156,1,490,"H2","1201",8,4420,4420,8840,0
2002,156,1,764,"H2","1201",8,6000,6000,1800,0
2002,156,1,842,"H2","1201",8,4618411009,4618411009,963187286,0
2002,156,1,891,"H2","1201",8,2,2,1,0
2003,156,1,0,"H2","1201",8,20741006031,20741006031,5416860728,0
2003,156,1,32,"H2","1201",8,5963920896,5963920896,1512172860,0
2003,156,1,36,"H2","1201",8,1000,1000,770,0
2003,156,1,76,"H2","1201",8,6470158848,6470158848,1683314880,0
2003,156,1,104,"H2","1201",8,150000,150000,21746,0
2003,156,1,124,"H2","1201",8,13456305,13456305,4409818,0
2003,156,1,344,"H2","1201",8,26100,26100,7830,0
2003,156,1,490,"H2","1201",8,1150,1150,2300,0
2003,156,1,643,"H2","1201",8,198280,198280,35691,0
2003,156,1,699,"H2","1201",8,10,10,30,0
2003,156,1,710,"H2","1201",8,66,66,38,0
2003,156,1,842,"H2","1201",8,8293093376,8293093376,2216894765,0
2004,156,1,0,"H2","1201",8,20229966072,20229966072,6979166605,0
2004,156,1,32,"H2","1201",8,4402717184,4402717184,1548647353,0
